id_oportunidade,valor_proposta,tempo_negociacao,produto,setor_cliente,tamanho_cliente,num_reunioes,conversa_inicial,conversa_final,status_final
OPP_0025,39473.62,71,CRM,Indústria,Pequeno,6,"Após a demonstração, o cliente confirmou intenção de compra.","Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0026,10784.02,17,CRM,Indústria,Grande,1,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente considerou o preço alto e desistiu.,0
OPP_0027,26197.49,23,ERP,Indústria,Grande,3,Cliente não respondeu após a proposta inicial.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0028,30028.31,26,CRM,Varejo,Médio,2,Cliente mencionou optar por concorrente.,Cliente considerou o preço alto e desistiu.,0
OPP_0029,3276.07,85,CRM,Indústria,Médio,9,Cliente mencionou optar por concorrente.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0030,30769.7,86,Analytics,Saúde,Grande,1,Cliente não respondeu após a proposta inicial.,Cliente mencionou optar por concorrente.,0
OPP_0031,9355.68,7,CRM,Serviços,Pequeno,9,Cliente satisfeito com o atendimento e condições comerciais.,Não houve retorno após múltiplos contatos.,0
OPP_0032,4187.53,14,ERP,Saúde,Pequeno,9,Cliente não respondeu após a proposta inicial.,Cliente não respondeu após a proposta inicial.,0
OPP_0033,47495.39,79,Analytics,Indústria,Grande,8,Cliente considerou o preço alto e desistiu.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0034,48315.97,7,Infraestrutura,Saúde,Médio,8,Não houve retorno após múltiplos contatos.,Não houve retorno após múltiplos contatos.,0
OPP_0035,40611.47,9,Analytics,Indústria,Grande,1,Cliente mencionou optar por concorrente.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0036,15926.07,48,ERP,Varejo,Grande,8,Cliente considerou o preço alto e desistiu.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0037,5785.93,72,Analytics,Saúde,Médio,3,Cliente não respondeu após a proposta inicial.,Cliente não respondeu após a proposta inicial.,0
OPP_0038,34527.42,59,Analytics,Varejo,Grande,7,Cliente satisfeito com o atendimento e condições comerciais.,Cliente não respondeu após a proposta inicial.,0
OPP_0039,22567.47,87,ERP,Varejo,Grande,1,Cliente não respondeu após a proposta inicial.,Cliente não respondeu após a proposta inicial.,0
OPP_0040,6979.87,82,Analytics,Educação,Grande,1,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente considerou o preço alto e desistiu.,0
OPP_0041,25263.67,39,ERP,Indústria,Médio,5,Cliente não respondeu após a proposta inicial.,Cliente considerou o preço alto e desistiu.,0
OPP_0042,2685.04,18,ERP,Serviços,Pequeno,5,Cliente mencionou optar por concorrente.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0043,45556.7,59,Infraestrutura,Indústria,Pequeno,8,Não houve retorno após múltiplos contatos.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0044,13680.22,17,CRM,Serviços,Médio,7,Cliente satisfeito com o atendimento e condições comerciais.,Cliente considerou o preço alto e desistiu.,0
OPP_0045,33463.59,14,CRM,Indústria,Pequeno,8,Cliente mencionou optar por concorrente.,Não houve retorno após múltiplos contatos.,0
OPP_0046,16273.84,31,Analytics,Varejo,Grande,6,Cliente mencionou optar por concorrente.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0047,26483.33,24,Analytics,Saúde,Pequeno,6,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente considerou o preço alto e desistiu.,0
OPP_0048,27788.8,60,Infraestrutura,Saúde,Grande,2,Não houve retorno após múltiplos contatos.,Cliente não respondeu após a proposta inicial.,0
OPP_0049,10057.87,45,Infraestrutura,Educação,Pequeno,6,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente não respondeu após a proposta inicial.,0
OPP_0050,48509.65,3,Infraestrutura,Serviços,Médio,5,Cliente satisfeito com o atendimento e condições comerciais.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0051,38981.51,37,ERP,Serviços,Pequeno,3,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0052,47035.45,43,Infraestrutura,Serviços,Pequeno,6,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0053,44846.54,40,Infraestrutura,Varejo,Pequeno,8,Cliente mencionou optar por concorrente.,Cliente não respondeu após a proposta inicial.,0
OPP_0054,30297.1,55,Analytics,Serviços,Médio,9,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente considerou o preço alto e desistiu.,0
OPP_0055,46171.84,87,Infraestrutura,Saúde,Pequeno,1,Cliente mencionou optar por concorrente.,Cliente mencionou optar por concorrente.,0
OPP_0056,5336.13,39,ERP,Varejo,Médio,3,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0057,10603.16,15,ERP,Indústria,Grande,3,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0058,3216.14,4,Analytics,Serviços,Pequeno,8,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente mencionou optar por concorrente.,0
OPP_0059,16941.19,86,Infraestrutura,Serviços,Médio,1,Não houve retorno após múltiplos contatos.,Cliente mencionou optar por concorrente.,0
OPP_0060,20045.19,25,Infraestrutura,Indústria,Médio,5,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente não respondeu após a proposta inicial.,0
OPP_0061,14296.1,13,ERP,Serviços,Pequeno,3,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0062,41608.14,82,Infraestrutura,Indústria,Grande,2,"Após a demonstração, o cliente confirmou intenção de compra.","Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0063,18480.91,33,Infraestrutura,Varejo,Médio,8,Não houve retorno após múltiplos contatos.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0064,14765.79,16,Infraestrutura,Saúde,Pequeno,3,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente mencionou optar por concorrente.,0
OPP_0065,27592.11,42,CRM,Indústria,Grande,7,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0066,7905.29,66,Analytics,Educação,Médio,1,Cliente demonstrou interesse e pediu proposta detalhada.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0067,40307.65,55,CRM,Indústria,Médio,6,Cliente não respondeu após a proposta inicial.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0068,4652.98,42,Analytics,Serviços,Grande,3,Cliente considerou o preço alto e desistiu.,Não houve retorno após múltiplos contatos.,0
OPP_0069,49357.46,34,ERP,Varejo,Grande,8,Cliente satisfeito com o atendimento e condições comerciais.,Cliente mencionou optar por concorrente.,0
OPP_0070,38839.99,30,Infraestrutura,Varejo,Pequeno,6,Cliente demonstrou interesse e pediu proposta detalhada.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0071,10737.07,13,Analytics,Indústria,Pequeno,2,Cliente não respondeu após a proposta inicial.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0072,1270.58,13,CRM,Saúde,Médio,6,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente mencionou optar por concorrente.,0
OPP_0073,40957.61,18,Infraestrutura,Educação,Grande,7,Cliente satisfeito com o atendimento e condições comerciais.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0074,35636.01,32,ERP,Varejo,Grande,5,Cliente considerou o preço alto e desistiu.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0075,36721.35,39,Analytics,Serviços,Grande,3,Cliente mencionou optar por concorrente.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0076,38792.25,46,Analytics,Serviços,Médio,4,Cliente satisfeito com o atendimento e condições comerciais.,Cliente considerou o preço alto e desistiu.,0
OPP_0077,4628.19,29,Analytics,Saúde,Grande,4,Cliente mencionou optar por concorrente.,Cliente não respondeu após a proposta inicial.,0
OPP_0078,18564.82,62,Infraestrutura,Varejo,Grande,6,"Após a demonstração, o cliente confirmou intenção de compra.","Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0079,6677.58,62,CRM,Indústria,Médio,1,Cliente não respondeu após a proposta inicial.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0080,43292.07,57,CRM,Serviços,Pequeno,4,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0081,31541.61,16,Analytics,Saúde,Pequeno,4,Cliente satisfeito com o atendimento e condições comerciais.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0082,17214.0,56,ERP,Varejo,Médio,1,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente mencionou optar por concorrente.,0
OPP_0083,4114.36,10,ERP,Varejo,Grande,9,"Conversas fluíram bem, cliente entusiasmado com o produto.",Não houve retorno após múltiplos contatos.,0
OPP_0084,16238.13,30,CRM,Varejo,Médio,4,Não houve retorno após múltiplos contatos.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0085,16933.98,25,ERP,Varejo,Pequeno,7,Cliente satisfeito com o atendimento e condições comerciais.,Não houve retorno após múltiplos contatos.,0
OPP_0086,36750.7,84,CRM,Varejo,Pequeno,3,Cliente demonstrou interesse e pediu proposta detalhada.,Não houve retorno após múltiplos contatos.,0
OPP_0087,32240.32,5,Analytics,Serviços,Médio,3,Cliente satisfeito com o atendimento e condições comerciais.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0088,44473.42,65,CRM,Saúde,Médio,8,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente considerou o preço alto e desistiu.,0
OPP_0089,24138.53,49,CRM,Varejo,Pequeno,8,Cliente considerou o preço alto e desistiu.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0090,6860.12,3,Analytics,Educação,Médio,1,Não houve retorno após múltiplos contatos.,Não houve retorno após múltiplos contatos.,0
OPP_0091,35948.99,45,ERP,Educação,Pequeno,2,Cliente não respondeu após a proposta inicial.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0092,38278.47,14,CRM,Saúde,Médio,8,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente não respondeu após a proposta inicial.,0
OPP_0093,28502.58,30,CRM,Indústria,Médio,1,Não houve retorno após múltiplos contatos.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0094,38777.39,68,Analytics,Indústria,Médio,8,Cliente mencionou optar por concorrente.,Cliente mencionou optar por concorrente.,0
OPP_0095,25195.98,18,ERP,Indústria,Pequeno,8,Não houve retorno após múltiplos contatos.,Cliente não respondeu após a proposta inicial.,0
OPP_0096,26613.91,62,CRM,Educação,Médio,2,Não houve retorno após múltiplos contatos.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0097,21949.51,37,Analytics,Indústria,Pequeno,4,Não houve retorno após múltiplos contatos.,Não houve retorno após múltiplos contatos.,0
OPP_0098,2245.54,25,CRM,Serviços,Pequeno,6,Cliente demonstrou interesse e pediu proposta detalhada.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0099,6286.68,48,Infraestrutura,Varejo,Médio,9,Cliente não respondeu após a proposta inicial.,Cliente não respondeu após a proposta inicial.,0
OPP_0100,2540.03,65,Analytics,Educação,Médio,8,Cliente satisfeito com o atendimento e condições comerciais.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0101,32184.11,53,ERP,Saúde,Pequeno,8,Não houve retorno após múltiplos contatos.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0102,16403.44,79,ERP,Saúde,Pequeno,7,Cliente mencionou optar por concorrente.,Cliente não respondeu após a proposta inicial.,0
OPP_0103,25919.96,73,ERP,Varejo,Grande,9,"Após a demonstração, o cliente confirmou intenção de compra.",Não houve retorno após múltiplos contatos.,0
OPP_0104,45470.76,15,ERP,Educação,Pequeno,2,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente não respondeu após a proposta inicial.,0
OPP_0105,13215.32,49,CRM,Indústria,Grande,3,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0106,21108.76,88,CRM,Indústria,Grande,8,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0107,38022.01,68,ERP,Serviços,Grande,6,Não houve retorno após múltiplos contatos.,Cliente não respondeu após a proposta inicial.,0
OPP_0108,12211.11,12,ERP,Serviços,Médio,9,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0109,4772.02,59,ERP,Indústria,Médio,4,Não houve retorno após múltiplos contatos.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0110,15197.82,37,CRM,Saúde,Pequeno,8,Cliente mencionou optar por concorrente.,Cliente não respondeu após a proposta inicial.,0
OPP_0111,8899.84,61,ERP,Saúde,Grande,3,Cliente satisfeito com o atendimento e condições comerciais.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0112,46555.18,43,ERP,Serviços,Médio,3,Cliente satisfeito com o atendimento e condições comerciais.,Cliente não respondeu após a proposta inicial.,0
OPP_0113,40597.9,70,Infraestrutura,Varejo,Médio,8,"Após a demonstração, o cliente confirmou intenção de compra.",Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0114,32036.78,39,Infraestrutura,Indústria,Médio,5,Cliente não respondeu após a proposta inicial.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0115,43701.57,56,ERP,Serviços,Médio,3,Não houve retorno após múltiplos contatos.,Cliente mencionou optar por concorrente.,0
OPP_0116,40379.93,63,Analytics,Serviços,Médio,1,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente não respondeu após a proposta inicial.,0
OPP_0117,10141.93,46,ERP,Indústria,Grande,3,Cliente mencionou optar por concorrente.,Não houve retorno após múltiplos contatos.,0
OPP_0118,44735.39,88,Infraestrutura,Indústria,Grande,9,Cliente considerou o preço alto e desistiu.,Cliente considerou o preço alto e desistiu.,0
OPP_0119,27427.77,11,Analytics,Saúde,Grande,5,Cliente mencionou optar por concorrente.,Cliente mencionou optar por concorrente.,0
OPP_0120,40564.57,62,Analytics,Varejo,Grande,2,Cliente considerou o preço alto e desistiu.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0121,44908.47,77,ERP,Varejo,Pequeno,7,Não houve retorno após múltiplos contatos.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0122,16582.17,25,Infraestrutura,Indústria,Grande,2,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente considerou o preço alto e desistiu.,0
OPP_0123,6392.54,71,Infraestrutura,Educação,Médio,4,Cliente considerou o preço alto e desistiu.,Não houve retorno após múltiplos contatos.,0
OPP_0124,12168.82,52,Analytics,Serviços,Grande,7,Cliente considerou o preço alto e desistiu.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0125,21928.28,4,ERP,Serviços,Pequeno,4,"Após a demonstração, o cliente confirmou intenção de compra.","Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0126,41082.72,59,CRM,Indústria,Médio,7,Cliente demonstrou interesse e pediu proposta detalhada.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0127,43175.8,72,CRM,Educação,Grande,7,Cliente não respondeu após a proposta inicial.,Não houve retorno após múltiplos contatos.,0
OPP_0128,1340.65,20,Infraestrutura,Saúde,Grande,1,Cliente satisfeito com o atendimento e condições comerciais.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0129,26026.62,63,CRM,Indústria,Grande,6,Cliente considerou o preço alto e desistiu.,Cliente mencionou optar por concorrente.,0
OPP_0130,21453.14,54,Infraestrutura,Indústria,Médio,9,Não houve retorno após múltiplos contatos.,Não houve retorno após múltiplos contatos.,0
OPP_0131,11883.28,74,Infraestrutura,Serviços,Médio,2,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0132,6873.4,57,Infraestrutura,Indústria,Pequeno,3,Cliente mencionou optar por concorrente.,Cliente mencionou optar por concorrente.,0
OPP_0133,17543.14,41,CRM,Indústria,Médio,5,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0134,47202.58,3,Infraestrutura,Indústria,Médio,9,Cliente satisfeito com o atendimento e condições comerciais.,Não houve retorno após múltiplos contatos.,0
OPP_0135,16836.94,6,Analytics,Serviços,Grande,4,Cliente não respondeu após a proposta inicial.,Cliente mencionou optar por concorrente.,0
OPP_0136,26420.74,5,ERP,Saúde,Médio,1,Cliente não respondeu após a proposta inicial.,Cliente não respondeu após a proposta inicial.,0
OPP_0137,35447.93,5,ERP,Saúde,Grande,4,Cliente mencionou optar por concorrente.,Não houve retorno após múltiplos contatos.,0
OPP_0138,18817.85,54,Infraestrutura,Indústria,Grande,6,Cliente mencionou optar por concorrente.,Não houve retorno após múltiplos contatos.,0
OPP_0139,48617.32,47,ERP,Serviços,Médio,5,Cliente não respondeu após a proposta inicial.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0140,48159.92,87,CRM,Saúde,Pequeno,1,Cliente mencionou optar por concorrente.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0141,13337.33,49,CRM,Saúde,Pequeno,4,Cliente mencionou optar por concorrente.,Cliente mencionou optar por concorrente.,0
OPP_0142,25365.18,9,ERP,Saúde,Médio,6,Cliente mencionou optar por concorrente.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0143,15743.04,20,CRM,Serviços,Pequeno,4,Cliente considerou o preço alto e desistiu.,Cliente mencionou optar por concorrente.,0
OPP_0144,14957.18,61,ERP,Serviços,Grande,9,Cliente considerou o preço alto e desistiu.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0145,2807.46,35,ERP,Indústria,Grande,5,Cliente satisfeito com o atendimento e condições comerciais.,Cliente não respondeu após a proposta inicial.,0
OPP_0146,30868.65,50,ERP,Varejo,Médio,8,Cliente demonstrou interesse e pediu proposta detalhada.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0147,25631.27,82,Infraestrutura,Saúde,Pequeno,9,Cliente satisfeito com o atendimento e condições comerciais.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0148,3522.46,62,ERP,Varejo,Pequeno,5,Cliente satisfeito com o atendimento e condições comerciais.,Cliente considerou o preço alto e desistiu.,0
OPP_0149,14653.68,17,Infraestrutura,Serviços,Grande,6,Cliente considerou o preço alto e desistiu.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0150,45505.03,88,ERP,Serviços,Médio,1,Cliente satisfeito com o atendimento e condições comerciais.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0151,12738.53,3,ERP,Serviços,Pequeno,7,"Após a demonstração, o cliente confirmou intenção de compra.","Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0152,8099.85,32,ERP,Varejo,Médio,4,Cliente não respondeu após a proposta inicial.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0153,24983.19,13,CRM,Serviços,Pequeno,2,Cliente demonstrou interesse e pediu proposta detalhada.,Não houve retorno após múltiplos contatos.,0
OPP_0154,49296.87,89,Infraestrutura,Indústria,Grande,5,Cliente demonstrou interesse e pediu proposta detalhada.,Não houve retorno após múltiplos contatos.,0
OPP_0155,12860.71,73,Infraestrutura,Serviços,Grande,3,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente considerou o preço alto e desistiu.,0
OPP_0156,33934.64,68,ERP,Educação,Médio,6,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0157,38319.36,14,ERP,Varejo,Grande,8,Cliente satisfeito com o atendimento e condições comerciais.,Cliente mencionou optar por concorrente.,0
OPP_0158,12644.24,11,CRM,Educação,Pequeno,7,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0159,36682.6,56,CRM,Serviços,Grande,3,Não houve retorno após múltiplos contatos.,Cliente não respondeu após a proposta inicial.,0
OPP_0160,19021.37,67,CRM,Indústria,Médio,8,Não houve retorno após múltiplos contatos.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0161,31982.99,29,Infraestrutura,Saúde,Médio,2,"Conversas fluíram bem, cliente entusiasmado com o produto.",Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0162,32042.96,9,Infraestrutura,Serviços,Médio,9,Cliente satisfeito com o atendimento e condições comerciais.,Cliente considerou o preço alto e desistiu.,0
OPP_0163,27252.96,67,Infraestrutura,Indústria,Pequeno,4,Não houve retorno após múltiplos contatos.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0164,5424.2,25,ERP,Varejo,Pequeno,1,Cliente demonstrou interesse e pediu proposta detalhada.,Não houve retorno após múltiplos contatos.,0
OPP_0165,41929.82,76,Infraestrutura,Educação,Pequeno,8,Cliente mencionou optar por concorrente.,Não houve retorno após múltiplos contatos.,0
OPP_0166,16718.22,42,Analytics,Educação,Pequeno,7,Cliente considerou o preço alto e desistiu.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0167,10139.41,9,Analytics,Educação,Pequeno,5,Cliente mencionou optar por concorrente.,Não houve retorno após múltiplos contatos.,0
OPP_0168,2997.98,79,CRM,Varejo,Grande,5,Cliente considerou o preço alto e desistiu.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0169,29953.75,40,Infraestrutura,Indústria,Pequeno,7,Cliente mencionou optar por concorrente.,Cliente considerou o preço alto e desistiu.,0
OPP_0170,34200.65,25,Analytics,Varejo,Pequeno,5,Não houve retorno após múltiplos contatos.,"Após a demonstração, o cliente confirmou intenção de compra.",1
OPP_0171,1812.8,5,CRM,Educação,Grande,8,Cliente satisfeito com o atendimento e condições comerciais.,Cliente demonstrou interesse e pediu proposta detalhada.,1
OPP_0172,26092.56,11,Infraestrutura,Serviços,Pequeno,6,Cliente mencionou optar por concorrente.,Cliente não respondeu após a proposta inicial.,0
OPP_0173,12098.29,59,ERP,Saúde,Médio,5,Não houve retorno após múltiplos contatos.,Não houve retorno após múltiplos contatos.,0
OPP_0174,32613.47,88,Analytics,Varejo,Pequeno,9,Cliente considerou o preço alto e desistiu.,Não houve retorno após múltiplos contatos.,0
OPP_0175,9543.96,79,ERP,Varejo,Pequeno,2,Cliente satisfeito com o atendimento e condições comerciais.,Cliente considerou o preço alto e desistiu.,0
OPP_0176,34855.95,38,Infraestrutura,Indústria,Médio,1,Cliente não respondeu após a proposta inicial.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0177,19950.03,72,Analytics,Indústria,Médio,8,Cliente considerou o preço alto e desistiu.,Cliente não respondeu após a proposta inicial.,0
OPP_0178,46899.77,5,Infraestrutura,Varejo,Médio,3,Cliente satisfeito com o atendimento e condições comerciais.,Cliente não respondeu após a proposta inicial.,0
OPP_0179,7738.53,48,ERP,Educação,Médio,7,Cliente demonstrou interesse e pediu proposta detalhada.,Cliente considerou o preço alto e desistiu.,0
OPP_0180,17712.25,18,Analytics,Saúde,Pequeno,8,Cliente mencionou optar por concorrente.,"Conversas fluíram bem, cliente entusiasmado com o produto.",0
OPP_0181,6560.2,70,ERP,Indústria,Médio,6,Cliente não respondeu após a proposta inicial.,Cliente satisfeito com o atendimento e condições comerciais.,1
OPP_0182,46309.99,37,Infraestrutura,Educação,Médio,9,Cliente considerou o preço alto e desistiu.,Cliente mencionou optar por concorrente.,0
